,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
0,Accawmacke Elementary,Accomack County Public Schools,"26230 Drummondtown Rd Accomac, VA 23301",757-787-8013,Javan,Thompson,PK-5,Elementary,757-787-5754,Warren,Holland
1,Chincoteague Elementary,Accomack County Public Schools,"6078 Hallie Whealton Smith Dr Chincoteague, VA 23336",757-336-5545,Diane,King,PK-5,Elementary,757-787-5754,Warren,Holland
2,Kegotank Elementary,Accomack County Public Schools,"13300 Lankford Highway Mappsville, VA 23407",757-824-4756,Phyllis,Smith,PK-5,Elementary,757-787-5754,Warren,Holland
3,Metompkin Elementary,Accomack County Public Schools,"24501 Parksley Rd Parksley, VA 23421",757-665-1299,Michelle,Buell,PK-5,Elementary,757-787-5754,Warren,Holland
4,Pungoteague Elementary,Accomack County Public Schools,"28480 Bobtown Rd Melfa, VA 23410",757-787-4032,Brian,Patterson,PK-5,Elementary,757-787-5754,Warren,Holland
5,Arcadia Middle,Accomack County Public Schools,"29485 Horsey Rd. Oak Hall, VA 23416",757-824-4862,Wandnetta,McCray,6-8,Middle,757-787-5754,Warren,Holland
6,Nandua Middle,Accomack County Public Schools,"20330 Warrior Dr. Onley, VA 23418",757-787-7037,SuCora,Owens,6-8,Middle,757-787-5754,Warren,Holland
7,Arcadia High,Accomack County Public Schools,"8210 Lankford Highway Oak Hall, VA 23416",757-824-5613,Shaun,O'Shea,9-12,High,757-787-5754,Warren,Holland
8,Nandua High,Accomack County Public Schools,"26350 Lankford Highway Onley, VA 23418",757-787-4514,Deon,Garner,9-12,High,757-787-5754,Warren,Holland
9,Chincoteague High,Accomack County Public Schools,"4586 Main St Chincoteague, VA 23336",757-336-6166,John,Killmon,6-12,Combined,757-787-5754,Warren,Holland
10,Tangier Combined,Accomack County Public Schools,"4375 School Lane Tangier, VA 23440",757-891-2315,Marjorie,Rosati,KG-12,Combined,757-787-5754,Warren,Holland
11,Agnor-Hurt Elementary,Albemarle County Public Schools,"3201 Berkmar Drive Charlottesville, VA 22901-1475",434-973-5211,Michael,Irani,PK-5,Elementary,434-296-5826,Matthew,Haas
12,Baker-Butler Elem,Albemarle County Public Schools,"2740 Proffit Road Charlottesville, VA 22911",434-974-7777,Seth,Kennard,PK-5,Elementary,434-296-5826,Matthew,Haas
13,Broadus Wood Elementary,Albemarle County Public Schools,"185 Buck Mountain Road Earlysville, VA 22936-2009",434-973-3865,Amy Daniel,Morris,PK-5,Elementary,434-296-5826,Matthew,Haas
14,Brownsville Elementary,Albemarle County Public Schools,"5870 Rockfish Gap Turnpike Crozet, VA 22932-3401",434-823-4658,Jason,Crutchfield,PK-5,Elementary,434-296-5826,Matthew,Haas
15,Crozet Elementary,Albemarle County Public Schools,"1407 Crozet Avenue Crozet, VA 22932-3401",434-823-4800,Staci,England,KG-5,Elementary,434-296-5826,Matthew,Haas
16,Hollymead Elementary,Albemarle County Public Schools,"2775 Powell Creek Drive Charlottesville, VA 22911-7540",434-973-8301,Joe,McCauley,PK-5,Elementary,434-296-5826,Matthew,Haas
17,Mary Carr Greer Elementary,Albemarle County Public Schools,"190 Lambs Lane Charlottesville, VA 22901-8979",434-973-8371,Steve,Saunders,PK-5,Elementary,434-296-5826,Matthew,Haas
18,Meriwether Lewis Elementary,Albemarle County Public Schools,"1610 Owensville Road Charlottesville, VA 22901-9407",434-293-9304,Jennifer,Underwood,KG-5,Elementary,434-296-5826,Matthew,Haas
19,Mountain View Elementary,Albemarle County Public Schools,"1757 Avon Street Extended Charlottesville, VA 22902-8708",434-293-7455,Cyndi,Wells,PK-5,Elementary,434-296-5826,Matthew,Haas
20,Red Hill Elementary,Albemarle County Public Schools,"3901 Red Hill School Road North Garden, VA 22959-1704",434-293-5332,Nancy,McCullen,PK-5,Elementary,434-296-5826,Matthew,Haas
